kabupaten tapin,-2.9160745,115.0466
kota banjarbaru,-3.4572423,114.81032
kota banjarmasin,-3.3186066,114.594376
kalimantan tengah,-1.6814878,113.382355
kabupaten barito selatan,-1.875943,114.80927
kabupaten barito timur,-2.0124,115.18892
kabupaten barito utara,-0.9587136,115.09405
kabupaten gunung mas,-1.2522464,113.57285
kabupaten kapuas,-1.8116446,114.334145
kabupaten katingan,-0.9758379,112.810555
kabupaten kotawaringin barat,-2.506342,111.76147
kabupaten kotawaringin timur,-2.1225474,112.810555
kabupaten lamandau,-1.8526376,111.2845
kabupaten murung raya,-0.1362171,114.334145
kabupaten pulang pisau,-2.6849606,113.95364
kabupaten sukamara,-2.6267517,111.23681
kabupaten seruyan,-3.0123467,112.429146
kota palangka raya,-2.2161047,113.91398
kalimantan timur,0.5386586,116.41939
kabupaten berau,2.0450883,117.36165
kabupaten bulungan,2.9042475,116.985245
kabupaten kutai barat,-0.4051796,115.85217
kabupaten kutai kartanegara,-0.1336655,116.60816
kabupaten kutai timur,0.9433774,116.985245
kabupaten malinau,3.073093,116.04139
kabupaten nunukan,4.0609226,117.666954
kabupaten paser,-1.7175266,115.9468
kabupaten penajam paser utara,-1.2917094,116.513794
kabupaten tana tidung,3.551869,117.07941
kota balikpapan,-1.2379274,116.85285
kota bontang,0.120863,117.48004
kota samarinda,-0.4948232,117.143616
kota tarakan,3.32736,117.57851
sulawesi,-1.8479,120.5279
gorontalo,0.5435442,123.05677
kabupaten boalemo,0.7013419,122.26539
kabupaten bone bolango,0.5657885,123.34862
kabupaten gorontalo,0.5435442,123.05677
kabupaten gorontalo utara,0.9252647,122.49201
kabupaten pohuwato,0.7055278,121.71954
kota gorontalo,0.5435442,123.05677
sulawesi selatan,-3.6687994,119.97405
kabupaten bantaeng,-5.5169315,120.020294
kabupaten barru,-4.436417,119.64992
kabupaten bone,-4.7443385,120.06652
kabupaten bulukumba,-5.4329367,120.20511
kabupaten enrekang,-3.4590745,119.88152
kabupaten gowa,-5.310289,119.74261
kabupaten jeneponto,-5.554579,119.673096
kabupaten kepulauan selayar,-6.2869787,120.50488
kabupaten luwu,-3.3052213,120.251274
kabupaten luwu timur,-2.5825517,121.171036
kabupaten luwu utara,-2.2690446,119.97405
kabupaten maros,-5.0549145,119.696266
kabupaten pangkajene dan kepulauan,-4.805035,119.55717
kabupaten pinrang,-3.6483486,119.55717
kabupaten sidenreng rappang,-3.7738981,120.020294
kabupaten sinjai,-5.217196,120.11273
kabupaten soppeng,-4.3518543,119.927795
kabupaten takalar,-5.4162493,119.487564
kabupaten tana toraja,-3.0753002,119.74261
kabupaten toraja utara,-2.8621943,119.83523
kabupaten wajo,-4.022229,120.06652
kota makassar,-5.147665,119.43273
kota palopo,-3.010846,120.202225
kota parepare,-4.009622,119.62906
sulawesi tenggara,-4.14491,122.17461
kabupaten bombana,-4.654346,121.901794
kabupaten buton,-5.3096356,122.98883
kabupaten buton utara,-4.7023425,123.033875
kabupaten kolaka,-3.9946988,121.582664
kabupaten kolaka utara,-3.1347227,121.171036
kabupaten konawe,-3.938043,122.08375
kabupaten konawe selatan,-4.2027917,122.446724
kabupaten konawe utara,-3.3803291,122.08375
kabupaten muna,-4.901629,122.62775
kabupaten wakatobi,-5.326444,123.59519
kota bau-bau,-5.470011,122.59769
kota kendari,-3.9984598,122.51298
sulawesi tengah,-1.4300255,121.44562
kabupaten banggai,-0.956178,122.62775
kabupaten banggai kepulauan,-1.307594,123.033875
kabupaten buol,0.9695452,121.354164
kabupaten donggala,-0.4233155,119.83523
kabupaten morowali,-2.698723,121.901794
kabupaten parigi moutong,0.5817607,120.80395
kabupaten poso,-1.3949976,120.75377
kabupaten tojo una-una,-1.098757,121.537
kabupaten toli-toli,0.8768231,120.75798
kabupaten sigi,-1.3859904,119.88152
kota palu,-0.9002915,119.878
sulawesi utara,0.6246932,123.975
kabupaten bolaang mongondow,0.6870994,124.06414
kabupaten bolaang mongondow selatan,0.4053215,123.841125
